PLAYER_ID,FIRST_NAME,LAST_NAME,DATE_BIRTH,HEIGHT,WEIGHT,JERSEY,POSITION,TEAM_ID,CAREER_PTS,CAREER_AST,CAREER_REB,ALL_STAR_NUM
101235,Kelenna,Azubuike,1983-12-16,77.0,215.0,4,Guard,1610612744.0,10.5,1.1,4.0,0.0
203569,Chris,Babb,1990-02-14,77.0,225.0,52,Guard,1610612738.0,1.6,0.2,1.2,0.0
202337,Luke,Babbitt,1989-06-20,81.0,225.0,22,Forward,1610612748.0,4.8,0.6,2.2,0.0
76079,Milos,Babic,1968-11-23,84.0,240.0,00,Center,1610612739.0,1.8,0.5,1.0,0.0
76080,Johnny,Bach,1924-07-10,74.0,180.0,17,Forward,1610612738.0,3.5,0.7,,0.0
1628407,Dwayne,Bacon,1995-08-30,78.0,221.0,8,Guard-Forward,1610612753.0,9.9,1.1,2.8,
76081,Jim,Baechtold,1927-12-09,76.0,205.0,10,Forward,1610612752.0,9.7,2.1,3.1,0.0
2053,Dalibor,Bagaric,1980-07-02,85.0,290.0,11,Center,1610612741.0,2.6,0.4,2.5,0.0
76082,John,Bagley,1960-04-23,72.0,185.0,5,Guard,1610612739.0,8.7,6.0,2.6,0.0
1628963,Marvin,Bagley III,1999-03-14,83.0,235.0,35,Forward,1610612758.0,13.9,0.9,7.4,
76084,Carl,Bailey,1958-04-23,84.0,210.0,21,Center,1610612757.0,2.0,0.0,0.0,0.0
76083,Gus,Bailey,1951-02-18,77.0,185.0,20,Guard,1610612745.0,2.6,1.1,1.7,0.0
76085,James,Bailey,1957-05-21,81.0,220.0,2,Forward,1610612760.0,8.8,0.8,5.0,0.0
1847,Thurl,Bailey,1961-04-07,83.0,247.0,41,Forward,1610612762.0,12.8,1.4,5.1,0.0
1753,Toby,Bailey,1975-11-19,78.0,213.0,11,Guard,1610612756.0,3.3,0.6,1.7,0.0
203946,Cameron,Bairstow,1990-12-07,81.0,250.0,41,Forward-Center,1610612741.0,1.2,0.2,1.0,0.0
1858,Mark,Baker,1969-11-11,73.0,175.0,,Guard,0.0,0.0,0.0,0.0,0.0
2486,Maurice,Baker,1979-07-28,74.0,200.0,,Guard,0.0,0.0,0.2,0.4,0.0
76089,Norm,Baker,1923-02-17,72.0,180.0,,Guard,1610610025.0,0.0,0.0,,0.0
1627758,Ron,Baker,1993-03-30,76.0,220.0,,Guard,0.0,3.1,1.8,1.4,0.0
452,Vin,Baker,1971-11-23,83.0,240.0,34,Forward,1610612760.0,15.0,1.9,7.4,4.0
1627735,Wade,Baldwin IV,1996-03-29,76.0,200.0,,Guard,0.0,3.1,1.4,1.2,0.0
200764,Renaldo,Balkman,1984-07-14,80.0,225.0,,Forward,0.0,4.0,0.6,3.5,0.0
76090,Cedric,Ball,1968-04-16,80.0,210.0,44,Forward,1610612746.0,1.1,0.0,1.6,0.0
1628366,Lonzo,Ball,1997-10-27,78.0,190.0,2,Guard,1610612740.0,14.2,5.6,4.2,
76091,Greg,Ballard,1955-01-29,79.0,215.0,42,Forward,1610612764.0,12.4,2.2,6.1,0.0
76092,Herschel,Baltimore,1921-06-21,76.0,195.0,,Forward,1610610034.0,2.4,0.3,,0.0
1628964,Mo,Bamba,1998-05-12,84.0,231.0,5,Center,1610612753.0,4.6,0.3,3.9,
76093,Gene,Banks,1959-05-15,79.0,215.0,20,Forward,1610612759.0,11.3,2.9,5.8,0.0
2556,Marcus,Banks,1981-11-19,74.0,205.0,15,Guard,1610612738.0,5.9,2.1,1.5,0.0
76094,Ken,Bannister,1960-04-01,81.0,235.0,51,Forward,1610612752.0,5.9,0.4,3.5,0.0
76095,Mike,Bantom,1951-12-03,81.0,200.0,42,Forward,1610612754.0,12.1,2.3,6.4,0.0
76096,John,Barber,1927-06-27,78.0,210.0,25,Forward,1610612737.0,1.4,0.0,1.2,0.0
2571,Leandro,Barbosa,1982-11-28,75.0,194.0,19,Guard,1610612756.0,10.6,2.1,2.0,0.0
76097,Stephen,Bardo,1968-04-05,77.0,190.0,25,Guard,1610612742.0,2.2,1.3,1.8,0.0
200826,J.J.,Barea,1984-06-26,70.0,180.0,5,Guard,1610612742.0,8.9,3.9,2.1,0.0
200745,Andrea,Bargnani,1985-10-26,84.0,245.0,,Center-Forward,0.0,14.3,1.2,4.6,0.0
76098,Cliff,Barker,1921-01-15,74.0,185.0,,Guard,1610610030.0,3.7,2.0,1.8,0.0
76099,Tom,Barker,1955-03-11,83.0,225.0,6,Center,1610612737.0,6.5,0.8,5.3,0.0
787,Charles,Barkley,1963-02-20,78.0,252.0,34,Forward,1610612755.0,22.1,3.9,11.7,9.0
2057,Erick,Barkley,1978-02-21,73.0,185.0,1,Guard,1610612757.0,2.9,1.5,0.8,0.0
76102,Don,Barksdale,1923-03-31,78.0,200.0,17,Forward,1610612738.0,11.0,2.1,8.0,1.0
203084,Harrison,Barnes,1992-05-30,80.0,225.0,40,Forward,1610612758.0,16.3,3.7,6.5,
76103,Harry,Barnes,1945-07-25,75.0,205.0,30,Forward,1610612745.0,2.0,0.2,1.2,0.0
76105,Jim,Barnes,1941-04-13,80.0,210.0,12,Center,1610612738.0,8.8,0.8,6.5,0.0
76104,Marvin,Barnes,1952-07-27,81.0,210.0,27,Forward,1610612746.0,9.2,1.5,5.5,0.0
2440,Matt,Barnes,1980-03-09,79.0,226.0,22,Forward,1610612744.0,8.2,1.8,4.6,0.0
76107,Dick,Barnett,1936-10-02,76.0,190.0,12,Guard,1610612752.0,15.8,2.8,2.9,1.0
76106,Jim,Barnett,1944-07-07,76.0,170.0,33,Guard,1610612744.0,11.7,3.0,3.1,0.0
76108,John,Barnhill,1938-03-20,73.0,180.0,11,Guard,1610612737.0,8.6,2.8,2.8,0.0
76109,Norton,Barnhill,1953-07-15,76.0,205.0,10,Guard,1610612760.0,1.0,0.3,0.8,0.0
76110,Leo,Barnhorst,1924-05-11,76.0,190.0,8-15,Forward,1610610030.0,9.4,3.2,5.4,2.0
76111,John,Barr,1918-08-18,75.0,205.0,,Forward,1610610034.0,5.1,0.9,,0.0
76112,Mike,Barr,1950-10-19,75.0,180.0,34,Guard,1610612758.0,3.9,2.4,1.8,0.0
76113,Thomas,Barr,1944-06-19,76.0,195.0,19,Guard,1610612758.0,2.0,0.9,0.6,0.0
2857,Andre,Barrett,1982-02-21,70.0,173.0,,Guard,0.0,3.3,2.0,1.1,0.0
76114,Ernie,Barrett,1929-08-27,,,,,0.0,4.9,1.7,2.6,0.0
1629628,RJ,Barrett,2000-06-14,78.0,214.0,9,Forward-Guard,1610612752.0,17.3,3.0,6.1,
2853,Earl,Barron,1981-08-14,84.0,250.0,30,Forward-Center,1610612748.0,4.6,0.5,3.5,0.0
344,Dana,Barros,1967-04-13,71.0,165.0,,Guard,1610612738.0,10.5,3.3,1.9,1.0
699,Brent,Barry,1971-12-31,79.0,210.0,17,Guard,1610612760.0,9.3,3.2,3.0,0.0
1003,Drew,Barry,1973-02-17,77.0,191.0,10,Guard,1610612737.0,2.2,1.9,1.1,0.0
468,Jon,Barry,1969-07-25,77.0,210.0,,Guard,0.0,5.7,2.2,1.8,0.0
600013,Rick,Barry,1944-03-28,79.0,205.0,24,Forward,1610612744.0,23.2,5.1,6.5,7.0
76117,Ed,Bartels,1925-10-08,78.0,195.0,,Forward,1610610036.0,4.2,1.0,4.9,0.0
76118,Vic,Bartolome,1948-09-29,84.0,230.0,20,Center,1610612744.0,0.9,0.1,1.6,0.0
203115,Will,Barton,1991-01-06,78.0,181.0,5,Guard,1610612743.0,13.0,3.2,4.1,
101188,Eddie,Basden,1983-02-15,77.0,215.0,13,Guard,1610612741.0,2.1,0.4,1.5,0.0
76119,Jerry,Baskerville,1951-11-10,79.0,190.0,44,Forward,1610612755.0,1.2,0.1,1.3,0.0
101138,Brandon,Bass,1985-04-30,80.0,250.0,30,Forward,1610612738.0,8.7,0.8,4.5,0.0
76120,Tim,Bassett,1951-04-01,80.0,225.0,21,Forward,1610612751.0,5.9,1.2,6.4,0.0
1766,Maceo,Baston,1976-05-29,82.0,230.0,9,Forward,1610612754.0,2.7,0.2,1.7,0.0
2370,Mengke,Bateer,1975-11-20,83.0,290.0,,Center,0.0,3.4,0.6,2.5,0.0
76121,Billyray,Bates,1956-05-31,76.0,210.0,35,Guard,1610612757.0,11.7,1.9,1.7,0.0
1628966,Keita,Bates-Diop,1996-01-23,80.0,229.0,31,Forward,1610612759.0,2.1,0.4,1.3,
101212,Esteban,Batista,1983-09-02,82.0,268.0,11,Forward-Center,1610612737.0,1.7,0.2,2.5,0.0
2471,Mike,Batiste,1977-11-21,,,,,0.0,6.4,0.7,3.4,0.0
1499,Tony,Battie,1976-02-11,83.0,240.0,4,Center,1610612738.0,6.1,0.6,5.1,0.0
2203,Shane,Battier,1978-09-09,80.0,220.0,31,Forward,1610612763.0,8.6,1.8,4.2,0.0
174,John,Battle,1962-11-09,74.0,175.0,10,Guard,1610612737.0,8.7,2.1,1.3,0.0
76123,Kenny,Battle,1964-10-10,78.0,210.0,8,Guard,1610612756.0,4.7,0.8,2.4,0.0
76124,Dave,Batton,1956-03-26,82.0,240.0,45,Center,1610612764.0,3.2,0.6,2.1,0.0
201587,Nicolas,Batum,1988-12-14,80.0,230.0,33,Guard-Forward,1610612746.0,8.6,2.3,4.7,
76125,Johnny,Baum,1946-06-17,77.0,200.0,14,Forward,1610612741.0,4.5,0.5,2.0,0.0
76126,Frankie,Baumholtz,1918-10-07,70.0,170.0,,Guard,1610610026.0,14.0,1.2,,0.0
