TEAM_ID,YEAR,W,L
1610612743,2007,50,32
1610612743,2008,54,28
1610612743,2009,53,29
1610612743,2010,50,32
1610612743,2011,38,28
1610612743,2012,57,25
1610612743,2013,36,46
1610612743,2014,30,52
1610612743,2015,33,49
1610612743,2016,40,42
1610612743,2017,46,36
1610612743,2018,54,28
1610612743,2019,46,27
1610612743,2020,47,25
1610612744,2002,38,44
1610612744,2003,37,45
1610612744,2004,34,48
1610612744,2005,34,48
1610612744,2006,42,40
1610612744,2007,48,34
1610612744,2008,29,53
1610612744,2009,26,56
1610612744,2010,36,46
1610612744,2011,23,43
1610612744,2012,47,35
1610612744,2013,51,31
1610612744,2014,67,15
1610612744,2015,73,9
1610612744,2016,67,15
1610612744,2017,58,24
1610612744,2018,57,25
1610612744,2019,15,50
1610612744,2020,39,33
1610612745,2002,43,39
1610612745,2003,45,37
1610612745,2004,51,31
1610612745,2005,34,48
1610612745,2006,52,30
1610612745,2007,55,27
1610612745,2008,53,29
1610612745,2009,42,40
1610612745,2010,43,39
1610612745,2011,34,32
1610612745,2012,45,37
1610612745,2013,54,28
1610612745,2014,56,26
1610612745,2015,41,41
1610612745,2016,55,27
1610612745,2017,65,17
1610612745,2018,53,29
1610612745,2019,44,28
1610612745,2020,17,55
1610612746,2002,27,55
1610612746,2003,28,54
1610612746,2004,37,45
1610612746,2005,47,35
1610612746,2006,40,42
1610612746,2007,23,59
1610612746,2008,19,63
1610612746,2009,29,53
1610612746,2010,32,50
1610612746,2011,40,26
1610612746,2012,56,26
1610612746,2013,57,25
1610612746,2014,56,26
1610612746,2015,53,29
1610612746,2016,51,31
1610612746,2017,42,40
1610612746,2018,48,34
1610612746,2019,49,23
1610612746,2020,47,25
1610612747,2002,50,32
1610612747,2003,56,26
1610612747,2004,34,48
1610612747,2005,45,37
1610612747,2006,42,40
1610612747,2007,57,25
1610612747,2008,65,17
1610612747,2009,57,25
1610612747,2010,57,25
1610612747,2011,41,25
1610612747,2012,45,37
1610612747,2013,27,55
1610612747,2014,21,61
1610612747,2015,17,65
1610612747,2016,26,56
1610612747,2017,35,47
1610612747,2018,37,45
1610612747,2019,52,19
1610612747,2020,42,30
1610612748,2002,25,57
1610612748,2003,42,40
1610612748,2004,59,23
1610612748,2005,52,30
1610612748,2006,44,38
1610612748,2007,15,67
1610612748,2008,43,39
1610612748,2009,47,35
1610612748,2010,58,24
1610612748,2011,46,20
1610612748,2012,66,16
1610612748,2013,54,28
1610612748,2014,37,45
1610612748,2015,48,34
1610612748,2016,41,41
1610612748,2017,44,38
1610612748,2018,39,43
1610612748,2019,44,29
1610612748,2020,40,32
1610612749,2002,42,40
1610612749,2003,41,41
1610612749,2004,30,52
1610612749,2005,40,42
1610612749,2006,28,54
1610612749,2007,26,56
1610612749,2008,34,48
1610612749,2009,46,36
1610612749,2010,35,47
1610612749,2011,31,35
1610612749,2012,38,44
1610612749,2013,15,67
1610612749,2014,41,41
1610612749,2015,33,49
1610612749,2016,42,40
1610612749,2017,44,38
1610612749,2018,60,22
1610612749,2019,56,17
1610612749,2020,46,26
1610612750,2002,51,31
1610612750,2003,58,24
1610612750,2004,44,38
1610612750,2005,33,49
1610612750,2006,32,50
1610612750,2007,22,60
1610612750,2008,24,58
1610612750,2009,15,67
1610612750,2010,17,65
1610612750,2011,26,40
1610612750,2012,31,51
1610612750,2013,40,42
1610612750,2014,16,66
1610612750,2015,29,53
1610612750,2016,31,51
1610612750,2017,47,35
1610612750,2018,36,46
1610612750,2019,19,45
1610612750,2020,23,49
1610612751,2002,49,33
1610612751,2003,47,35
1610612751,2004,42,40
1610612751,2005,49,33
1610612751,2006,41,41
1610612751,2007,34,48
1610612751,2008,34,48
1610612751,2009,12,70
1610612751,2010,24,58
1610612751,2011,22,44
1610612751,2012,49,33
1610612751,2013,44,38
1610612751,2014,38,44
1610612751,2015,21,61
1610612751,2016,20,62
1610612751,2017,28,54
1610612751,2018,42,40
1610612751,2019,35,37
1610612751,2020,48,24
1610612752,2002,37,45
1610612752,2003,39,43
1610612752,2004,33,49
1610612752,2005,23,59
1610612752,2006,33,49
1610612752,2007,23,59
1610612752,2008,32,50
1610612752,2009,29,53
1610612752,2010,42,40
1610612752,2011,36,30
1610612752,2012,54,28
1610612752,2013,37,45
1610612752,2014,17,65
1610612752,2015,32,50
1610612752,2016,31,51
1610612752,2017,29,53
1610612752,2018,17,65
1610612752,2019,21,45
1610612752,2020,41,31
1610612753,2002,42,40
1610612753,2003,21,61
1610612753,2004,36,46
1610612753,2005,36,46
1610612753,2006,40,42
1610612753,2007,52,30
1610612753,2008,59,23
1610612753,2009,59,23
1610612753,2010,52,30
1610612753,2011,37,29
1610612753,2012,20,62
1610612753,2013,23,59
